24737467462532277152142455242171545355,-2,100,7,-2,-4,-8,-2
273437714621566751317137225127,100,-7,-7,-7,-7,-7,100
1,-1,2,1,2,-1,1,-2
41341522173146,1,-13,13,4,4,3,1
71416716344441344,5,5,12,100,13,5,3
115542251462465541731227657666533,-7,-7,-7,-7,100,100,-7
26267671674753214,-12,-10,-12,-12,-12,-12,-12
721622226231265162241262747756,-1,100,-1,3,-1,3,-1
661771521665323,-13,-13,-13,-10,-13,-13,-13
,-2,-1,0,1,0,-1,-2
67764,-2,-3,0,1,0,1,-3
45235235,4,6,6,-1,4,-2,-1
66661443,-1,0,-1,4,-2,-2,-2
755753143512167173327633731566372745,-9,-9,100,-9,-9,-9,100
6233272153624615761234271213365675113,-9,100,-9,-9,-9,-9,-9
4744312644627,-14,-14,-14,-14,-14,-14,-14
54443732274417631517534116622313123444467,100,-6,100,100,-6,-6,-6
45564763521556,13,13,14,13,13,13,14
41333212327,-10,16,2,2,-3,-7,-8
363557557733474215362,-11,-11,-11,-11,-11,-11,-11
153662153,-3,-2,2,-1,2,-2,2
22644,-4,-2,-3,0,-3,-2,-4
64276455227153176347421273124,7,100,7,7,7,7,7
676326171216755633,12,-12,-12,-12,-12,8,-12
7516,-3,-3,0,0,0,-1,-3
6,-3,-2,-2,0,1,0,-2
643675441677711577761346344533421422671,-12,-12,-12,-12,-2,-12,100
622745,0,2,0,3,0,2,1
51536274213441242,13,13,13,13,13,13,13
37461541652737446456536366451544362576216,-9,-9,-9,-9,-9,100,-9
1535545647122423533575562237265557244514,11,11,11,11,100,11,11
56172,-4,-2,-2,-2,-2,-2,-3
5523552557513633613215,-3,3,-1,0,100,-3,-1
25267635761217554663257652553,-9,-9,-9,-9,100,100,-9
376,-4,-3,-2,-2,-3,-2,-4
21,0,2,0,-2,2,-2,-1
67423766,2,2,5,5,17,4,2
63261525245,-15,-4,-15,-15,-15,-15,-15
13575763,-1,-3,2,-4,2,-3,-2
115774543,2,-2,-2,5,5,-2,-3
76533332442,-3,0,1,2,0,2,1
37373441,9,12,17,11,11,9,10
12451474725,3,5,4,5,4,2,5
2467177664245665615464552231,-12,-12,-12,-12,-12,100,-12
51133562515663341132432,10,10,100,10,10,10,10
15345,-2,-2,-1,0,2,0,1
1555,-4,-4,-2,-2,-3,-4,-3
