27641535552474,-14,-14,-14,-5,-14,-14,-14
122333675266757646534721177,-5,-7,-7,-7,-6,-8,-100
7133725123,-3,-3,-2,-2,-1,-2,-2
641,2,2,1,-4,0,-2,2
727332251353414,13,0,0,0,0,13,10
5137725463745645414526261366,6,6,7,7,6,100,6
354221716572165321373625236,7,-100,7,-8,7,7,7
5262671746,0,3,16,11,11,1,0
41562375132172314214473627,-7,-7,7,-6,4,1,-7
34431531277167272733731,9,8,-100,9,9,9,-100
734246336323557,13,-13,-14,-14,-13,-13,-13
7157532626761211551271,100,-10,-10,-10,-10,-2,-10
6644246627,-11,14,15,-8,-13,-12,-7
7514142,-5,-5,-11,-12,-12,-11,-6
7245342456115341441677235131,100,7,-7,100,7,7,-7
7121,-1,1,0,0,1,-2,0
541632222263311467,3,-12,-12,-12,-12,-12,-12
56523317233447173513,11,-11,100,-11,-11,-11,-8
35434163761,3,-3,-5,-5,0,3,3
231336776122411267,3,4,3,3,2,6,7
74573427251512337325466312556,-5,6,-7,6,-100,6,6
323613473245255554654721276,7,7,7,7,-100,7,-8
222,0,-1,-2,0,-1,4,3
23746227667276114412,-4,-4,-3,2,-6,1,2
23233751441165223427,-11,-11,-11,-11,-11,-9,-11
317412415153377614146246,100,8,-9,-9,-9,-9,-9
716636115415644,-13,-13,-14,-13,-13,-13,-14
2473715117377176211652,100,1,4,10,9,4,100
1572734,2,0,-1,-1,0,4,2
5117152,2,0,0,2,10,10,11
24642522,-10,-11,-11,2,-5,-4,-12
32413121342257,14,-14,14,-14,-14,14,-14
67613123334,15,15,15,15,3,15,15
76415334742324567,12,12,12,-13,12,12,-11
1531355354276731,0,-10,0,0,3,3,-5
4,4,2,2,1,2,2,4
377574453,0,0,-5,-13,-16,-17,0
1734343766533316,-13,-13,100,-13,-11,-13,-13
264112,0,3,2,2,0,0,0
1667372674523154356447,1,1,10,2,6,1,1
14247265,-5,-13,-16,-5,-6,-6,-6
4277323746676,10,-14,-2,10,14,-2,-15
2716534641,-1,3,-1,3,2,3,-1
22161452631346326,-13,-13,12,12,12,12,12
643736746542554623467562,-9,8,9,9,-9,100,-9
76213125775264513,-13,12,12,-11,12,12,12
3157553332412226215737,-10,-10,-10,10,-10,-10,-10
212265363364237,-3,12,-6,-6,-1,12,12
,-2,-1,0,1,0,-1,-2
61471235233667462325135555,-8,8,-8,8,100,-8,-8
22741724666144213,-12,-4,-13,-4,-12,-3,-3
17164167575,11,4,2,-2,-2,-2,-16
237757254574512,13,13,13,13,13,13,13
546454134165451614,-12,-12,-12,100,-12,-11,-12
665,18,18,-1,-2,18,18,0
14546537,-16,-16,-4,-16,-16,-5,-13
2115641575541244,13,-5,-13,5,-5,-5,5
24116541,3,-3,-2,3,-2,1,0
3317524523761157512565146271,100,-6,4,-6,100,5,-6
24614641732212375136716424756,-5,5,-7,5,6,5,5
765667213411264577,3,11,12,11,11,0,1
116632672224167316527376472573,-6,100,-6,-6,-6,100,100
7627761,1,-2,-3,-3,1,-3,1
233515271625666257,-12,-12,-12,11,-12,-12,-12
7433163321131215617726,100,-10,-10,9,-10,-10,-10
16711127174,15,15,3,15,15,15,15
3362663,5,6,5,5,3,5,4
2421136472611335351243555,8,8,8,8,8,8,8
367732613521631765455153731275,-1,5,100,-6,100,6,-1
1536351363722624251,11,11,11,11,-12,11,11
6216125734711357174563613,-100,8,8,-8,8,8,8
5734,-3,-2,0,0,0,-3,-4
2173,-2,0,-2,-2,0,1,-2
43454425621236452364,-11,-11,-11,100,11,-11,-11
1614527764613,0,-2,-2,0,3,2,0
3621376535627543422,-11,-11,-11,-12,-12,-11,-11
44437517313,10,13,12,4,12,10,11
322716744341173254146272372714,6,100,5,100,6,5,100
6,3,2,2,0,-1,0,2
,-2,-1,0,1,0,-1,-2
1421343251621513467261532533,100,-7,100,-7,-7,-7,-7
261,3,-2,-2,-3,2,-2,3
33644576475311242527564211772,6,6,-7,6,6,6,6
331173437,16,-10,-17,16,16,16,16
761132154546167366272,10,10,10,10,-10,10,10
324752372352523571,9,9,9,11,9,12,10
241731521527531,0,-2,-9,-14,-2,0,-13
4133423244312,12,14,14,14,14,14,14
3337323154474414431,2,11,-100,-100,10,10,2
533,4,3,0,2,2,3,4
337133427,0,-2,0,-3,0,-3,2
431462576546265712652571524,2,4,7,-8,-100,4,4
767712161176631,0,0,-4,-5,0,-2,0
6147457425,-4,-4,-4,0,-2,-4,-4
5265,0,-2,-2,18,2,2,-2
612562565572735267436156,-9,-9,-9,9,100,100,-9
221763524,-3,-5,-5,-5,-2,-2,-4
2121327,-1,-3,-2,-3,-2,2,2
5665622735261,0,0,0,7,-2,-1,-2
74336652,-12,-13,-5,-4,-2,-5,-13
